Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC217Tkf1_fwd	PDAC217Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68414122.0	0.0	40-75	51.0	36.61340149455855	74.98861726238334	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC217Tkf1_rev	PDAC217Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68414122.0	0.0	40-75	52.0	36.47663411558538	74.98861726238334	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC218T_F8-9kf1_fwd	PDAC218T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43361359.0	0.0	40-75	51.0	42.06617689042048	74.98805058208623	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC218T_F8-9kf1_rev	PDAC218T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43361359.0	0.0	40-75	51.0	39.961271638809706	74.98805058208623	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
PDAC218Tkf1_fwd	PDAC218Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76854586.0	0.0	40-75	50.0	29.277452703536778	74.99118146313351	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC218Tkf1_rev	PDAC218Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76854586.0	0.0	40-75	51.0	29.641614941370126	74.99118146313351	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC219T_F8-9kf1_fwd	PDAC219T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25963561.0	0.0	40-75	51.0	49.60991790651879	74.98404259723848	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC219T_F8-9kf1_rev	PDAC219T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25963561.0	0.0	40-75	51.0	50.2278735423759	74.98404259723848	pass	pass	warn	pass	warn	fail	warn	warn	warn	fail	pass
PDAC219Tkf1_fwd	PDAC219Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100113514.0	0.0	40-75	50.0	41.96917107386016	74.98843283035694	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC219Tkf1_rev	PDAC219Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100113514.0	0.0	40-75	50.0	41.08855650230373	74.98843283035694	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC220T_F8-9kf1_fwd	PDAC220T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31895476.0	0.0	40-75	54.0	21.356505535005837	74.97920620466677	pass	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
PDAC220T_F8-9kf1_rev	PDAC220T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31895476.0	0.0	40-75	54.0	23.19369787969153	74.97920620466677	pass	pass	warn	pass	fail	fail	warn	warn	fail	fail	pass
PDAC220Tkf1_fwd	PDAC220Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93598148.0	0.0	40-75	50.0	36.55162052779637	74.99099240724293	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC220Tkf1_rev	PDAC220Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93598148.0	0.0	40-75	50.0	36.44978640532516	74.99099240724293	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC221T_F8-9kf1_fwd	PDAC221T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25776632.0	0.0	40-75	53.0	37.15052823063278	74.98569192437553	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC221T_F8-9kf1_rev	PDAC221T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25776632.0	0.0	40-75	53.0	37.12460683348062	74.98569192437553	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC221Tkf1_fwd	PDAC221Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82491194.0	0.0	40-75	51.0	33.21176030581967	74.99014017181034	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC221Tkf1_rev	PDAC221Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82491194.0	0.0	40-75	52.0	35.8223805173459	74.99014017181034	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC222T_F8-9kf1_fwd	PDAC222T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35963848.0	0.0	40-75	53.0	33.245778445676436	74.98377036851006	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PDAC222T_F8-9kf1_rev	PDAC222T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35963848.0	0.0	40-75	53.0	32.8222459268486	74.98377036851006	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC222Tkf1_fwd	PDAC222Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91310706.0	0.0	40-75	50.0	32.59769703115051	74.98834147662816	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC222Tkf1_rev	PDAC222Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91310706.0	0.0	40-75	50.0	30.34462863160725	74.98834147662816	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC223T_F8-9kf1_fwd	PDAC223T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23271022.0	0.0	40-75	52.0	51.30977586716735	74.98323129083029	pass	pass	pass	pass	warn	fail	warn	warn	warn	fail	pass
PDAC223T_F8-9kf1_rev	PDAC223T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23271022.0	0.0	40-75	52.0	49.296791083059446	74.98323129083029	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC223Tkf1_fwd	PDAC223Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80199151.0	0.0	40-75	49.0	43.55255705365204	74.98882405874845	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC223Tkf1_rev	PDAC223Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80199151.0	0.0	40-75	49.0	42.42956415639643	74.98882405874845	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC224T_F8-9kf1_fwd	PDAC224T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54434013.0	0.0	40-75	51.0	42.49572599462806	74.98892490252372	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC224T_F8-9kf1_rev	PDAC224T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54434013.0	0.0	40-75	51.0	40.314187408628655	74.98892490252372	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
PDAC224Tkf1_fwd	PDAC224Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78365407.0	0.0	40-75	50.0	34.357768134743985	74.99120407809532	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
