EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000260464	0	3	1	2	3	1	2	0
ENSG00000273204	0	0	0	2	2	2	0	0
ENSG00000079739	2897	2160	3853	2809	2360	1859	9160	5423
ENSG00000162377	304	358	254	170	156	223	246	106
ENSG00000224613	0	1	1	1	1	1	0	2
ENSG00000116670	380	589	219	264	252	459	262	420
ENSG00000116774	2695	1985	1753	1217	1371	936	756	465
ENSG00000224081	0	7	5	16	3	3	9	10
ENSG00000269113	45	63	266	223	3	9	846	800
ENSG00000284652	3	7	5	1	2	0	2	3
ENSG00000023909	701	629	850	540	737	607	894	351
ENSG00000117133	923	795	519	454	585	587	753	426
ENSG00000069702	85	69	261	135	227	223	238	93
ENSG00000228399	0	1	2	0	0	1	0	0
ENSG00000285928	14	14	16	5	12	17	8	9
ENSG00000117461	103	82	86	49	29	37	134	48
ENSG00000235501	36	100	72	44	23	53	72	100
ENSG00000233184	47	87	46	43	28	70	20	34
ENSG00000198198	419	354	490	301	182	177	386	233
ENSG00000116793	497	651	467	327	355	482	546	346
ENSG00000134201	187	188	95	92	227	230	184	183
ENSG00000116455	685	562	331	319	530	497	567	270
ENSG00000213366	225	216	245	302	404	362	316	318
ENSG00000236360	1	1	4	3	3	3	3	4
ENSG00000183298	46	133	36	44	45	69	31	89
ENSG00000117525	295	281	1896	1246	8787	7371	2319	980
ENSG00000099260	351	307	423	277	123	71	235	98
ENSG00000162692	27	40	415	230	24	13	38	7
ENSG00000203914	1	2	0	0	2	0	0	0
ENSG00000163349	1170	910	1364	797	621	615	1667	550
ENSG00000134222	284	308	78	73	105	137	87	79
ENSG00000228057	36	24	21	23	40	30	33	10
ENSG00000267272	3	17	7	3	12	32	1	3
ENSG00000181656	0	2	3	3	1	0	2	1
ENSG00000122481	23	36	21	21	16	10	22	10
ENSG00000198162	1244	1060	2157	1028	1107	1135	1193	405
ENSG00000238198	0	4	3	1	4	1	3	1
ENSG00000233593	2	5	1	0	3	3	1	2
ENSG00000196369	669	659	1176	660	440	515	1713	686
ENSG00000171517	2	0	1	0	1	3	0	0
ENSG00000234367	1	0	4	4	0	1	1	0
ENSG00000225206	180	271	105	57	114	207	44	29
ENSG00000271644	6	1	0	0	1	0	3	0
ENSG00000117543	333	502	230	224	243	251	272	197
ENSG00000143079	1230	1003	1259	750	1261	1137	1776	591
ENSG00000275064	0	0	0	1	9	3	1	0
ENSG00000134243	2394	1813	2118	1232	1754	1822	1734	956
ENSG00000227034	0	4	2	2	1	3	1	5
ENSG00000232450	4	5	3	0	3	7	3	1
ENSG00000134250	4772	3351	5966	3767	3017	2678	4854	2027
ENSG00000162643	32	32	19	6	20	21	51	11
ENSG00000143093	1129	760	1034	640	1080	706	1705	745
ENSG00000226415	142	155	86	81	130	135	189	181
ENSG00000085491	1071	741	806	475	837	628	1424	373
ENSG00000117598	0	1	0	0	1	1	0	0
ENSG00000221986	0	0	1	1	0	0	1	0
ENSG00000173947	17	16	16	17	4	3	12	15
